cicle;temperature;humidity;RSSI;date;hour
1;14;65;-98;26/03/2018;19:35:17
2;14;65;-98;26/03/2018;19:35:27
3;14;65;-98;26/03/2018;19:35:37
4;14;65;-98;26/03/2018;19:35:47
5;14;65;-98;26/03/2018;19:35:57
6;14;65;-98;26/03/2018;19:36:07
7;14;65;-98;26/03/2018;19:36:17
8;14;65;-99;26/03/2018;19:36:27
9;14;65;-99;26/03/2018;19:36:37
10;14;65;-98;26/03/2018;19:36:47
11;14;65;-99;26/03/2018;19:36:57
12;14;65;-99;26/03/2018;19:37:07
13;14;65;-98;26/03/2018;19:37:17
14;14;65;-99;26/03/2018;19:37:27
15;14;65;-99;26/03/2018;19:37:37
16;14;65;-99;26/03/2018;19:37:47
17;14;65;-99;26/03/2018;19:37:57
18;14;65;-99;26/03/2018;19:38:07
19;14;65;-99;26/03/2018;19:38:17
20;14;65;-99;26/03/2018;19:38:27
21;14;65;-99;26/03/2018;19:38:37
22;14;65;-99;26/03/2018;19:38:47
23;14;65;-99;26/03/2018;19:38:57
24;14;65;-99;26/03/2018;19:39:07
25;14;65;-99;26/03/2018;19:39:17
26;14;65;-99;26/03/2018;19:39:27
27;14;65;-99;26/03/2018;19:39:37
28;14;65;-99;26/03/2018;19:39:47
29;14;65;-99;26/03/2018;19:39:57
30;14;65;-99;26/03/2018;19:40:07
31;14;65;-99;26/03/2018;19:40:17
32;14;65;-99;26/03/2018;19:40:27
33;14;65;-99;26/03/2018;19:40:37
34;14;65;-99;26/03/2018;19:40:47
35;14;65;-99;26/03/2018;19:40:57
36;14;65;-99;26/03/2018;19:41:07
37;14;65;-99;26/03/2018;19:41:17
38;14;65;-99;26/03/2018;19:41:27
39;14;65;-99;26/03/2018;19:41:37
40;14;65;-99;26/03/2018;19:41:47
41;14;65;-99;26/03/2018;19:41:57
42;14;65;-99;26/03/2018;19:42:07
43;14;65;-99;26/03/2018;19:42:17
44;14;65;-99;26/03/2018;19:42:27
45;14;65;-99;26/03/2018;19:42:37
46;14;65;-99;26/03/2018;19:42:47
47;14;65;-99;26/03/2018;19:42:57
48;14;65;-99;26/03/2018;19:43:07
49;14;65;-99;26/03/2018;19:43:17
50;14;65;-99;26/03/2018;19:43:27
51;14;65;-99;26/03/2018;19:43:37
52;14;65;-99;26/03/2018;19:43:47
53;14;65;-99;26/03/2018;19:43:57
54;14;65;-99;26/03/2018;19:44:07
55;14;65;-99;26/03/2018;19:44:17
56;14;65;-98;26/03/2018;19:44:27
57;14;65;-98;26/03/2018;19:44:37
58;14;65;-97;26/03/2018;19:44:47
59;14;65;-98;26/03/2018;19:44:57
60;14;65;-98;26/03/2018;19:45:07
61;14;65;-98;26/03/2018;19:45:17
62;14;65;-98;26/03/2018;19:45:27
63;14;65;-98;26/03/2018;19:45:37

1;14;66;-96;26/03/2018;19:53:27
2;14;66;-96;26/03/2018;19:53:37
3;14;66;-96;26/03/2018;19:53:47
4;14;66;-97;26/03/2018;19:53:57
5;14;66;-98;26/03/2018;19:54:07
6;14;66;-99;26/03/2018;19:54:17
7;14;66;-99;26/03/2018;19:54:27
8;14;66;-99;26/03/2018;19:54:37
9;14;66;-99;26/03/2018;19:54:47
10;14;66;-99;26/03/2018;19:54:57
11;14;66;-99;26/03/2018;19:55:07
12;14;66;-99;26/03/2018;19:55:17
13;14;66;-99;26/03/2018;19:55:27
14;14;66;-99;26/03/2018;19:55:37
15;14;66;-99;26/03/2018;19:55:47
16;14;66;-99;26/03/2018;19:55:57
17;14;66;-99;26/03/2018;19:56:07
18;14;66;-99;26/03/2018;19:56:17
19;14;66;-99;26/03/2018;19:56:27
20;14;66;-99;26/03/2018;19:56:37
21;14;66;-99;26/03/2018;19:56:47
22;14;66;-99;26/03/2018;19:56:57
23;14;66;-99;26/03/2018;19:57:07
24;14;66;-99;26/03/2018;19:57:17
25;14;66;-99;26/03/2018;19:57:27
26;14;66;-99;26/03/2018;19:57:37
27;14;66;-99;26/03/2018;19:57:47
28;14;66;-99;26/03/2018;19:57:57
29;14;66;-99;26/03/2018;19:58:07
30;14;66;-99;26/03/2018;19:58:17
31;14;66;-99;26/03/2018;19:58:27
32;14;66;-99;26/03/2018;19:58:37
33;14;66;-99;26/03/2018;19:58:47
34;14;66;-99;26/03/2018;19:58:57
35;14;66;-99;26/03/2018;19:59:07
36;14;66;-99;26/03/2018;19:59:17
37;14;66;-99;26/03/2018;19:59:27
38;14;66;-99;26/03/2018;19:59:37
39;14;66;-99;26/03/2018;19:59:47
40;14;66;-99;26/03/2018;19:59:57
41;14;66;-99;26/03/2018;20:00:07
42;14;66;-99;26/03/2018;20:00:17
43;14;66;-99;26/03/2018;20:00:27
44;14;66;-98;26/03/2018;20:00:37
45;14;66;-99;26/03/2018;20:00:47
46;14;66;-99;26/03/2018;20:00:57
47;14;66;-99;26/03/2018;20:01:07
48;14;66;-99;26/03/2018;20:01:17
49;14;66;-99;26/03/2018;20:01:27
50;14;66;-99;26/03/2018;20:01:37
51;14;66;-99;26/03/2018;20:01:47
52;14;66;-99;26/03/2018;20:01:57
53;14;66;-99;26/03/2018;20:02:07
54;14;66;-99;26/03/2018;20:02:17
55;14;66;-99;26/03/2018;20:02:27
56;14;66;-99;26/03/2018;20:02:37
57;14;66;-99;26/03/2018;20:02:47
58;14;66;-99;26/03/2018;20:02:57
59;14;66;-99;26/03/2018;20:03:07
60;14;66;-99;26/03/2018;20:03:17
61;14;66;-99;26/03/2018;20:03:27
62;14;66;-99;26/03/2018;20:03:37
63;14;66;-99;26/03/2018;20:03:47
64;14;66;-99;26/03/2018;20:03:57
65;14;66;-99;26/03/2018;20:04:07
66;14;66;-99;26/03/2018;20:04:17
67;14;66;-99;26/03/2018;20:04:27

4390;14;66;-99;26/03/2018;20:12:47
4391;14;66;-99;26/03/2018;20:12:57
4392;14;66;-99;26/03/2018;20:13:07
4393;14;66;-99;26/03/2018;20:13:17
4394;14;66;-99;26/03/2018;20:13:27
4395;14;66;-99;26/03/2018;20:13:37
4396;14;66;-99;26/03/2018;20:13:47
4397;14;66;-99;26/03/2018;20:13:57
4398;14;66;-99;26/03/2018;20:14:07
4399;14;66;-99;26/03/2018;20:14:17
4400;14;66;-99;26/03/2018;20:14:27
4401;14;66;-99;26/03/2018;20:14:37
4402;14;66;-99;26/03/2018;20:14:47
4403;14;66;-99;26/03/2018;20:14:57
4404;14;66;-99;26/03/2018;20:15:07
4405;14;66;-99;26/03/2018;20:15:17
4406;14;66;-99;26/03/2018;20:15:27
4407;14;66;-99;26/03/2018;20:15:37
4408;14;66;-99;26/03/2018;20:15:47
4409;14;66;-99;26/03/2018;20:15:57
4410;14;66;-99;26/03/2018;20:16:07
4411;14;66;-99;26/03/2018;20:16:17
4412;14;66;-99;26/03/2018;20:16:27
4413;14;66;-99;26/03/2018;20:16:37
4414;14;66;-99;26/03/2018;20:16:47
4415;14;66;-99;26/03/2018;20:16:57
4416;14;66;-99;26/03/2018;20:17:07
4417;14;66;-99;26/03/2018;20:17:17
4418;14;66;-99;26/03/2018;20:17:27
4419;14;66;-99;26/03/2018;20:17:37
4420;14;66;-99;26/03/2018;20:17:47
4421;14;66;-99;26/03/2018;20:17:57
4422;14;66;-99;26/03/2018;20:18:07
4423;14;66;-99;26/03/2018;20:18:17
4424;14;66;-99;26/03/2018;20:18:27
4425;14;66;-99;26/03/2018;20:18:37
4426;14;66;-99;26/03/2018;20:18:47
4427;14;66;-99;26/03/2018;20:18:57
4428;14;66;-99;26/03/2018;20:19:07
