cicle;temperature;humidity;RSSI;date;hour
1;14;51;-63;22/03/2018;14:43:23
2;14;52;-62;22/03/2018;14:43:33
3;14;52;-63;22/03/2018;14:43:43
4;14;53;-62;22/03/2018;14:43:53
5;14;53;-62;22/03/2018;14:44:03
6;14;53;-61;22/03/2018;14:44:13
7;14;53;-62;22/03/2018;14:44:23
8;14;53;-62;22/03/2018;14:44:33
9;14;53;-63;22/03/2018;14:44:43
10;14;53;-63;22/03/2018;14:44:53
11;14;53;-63;22/03/2018;14:45:03
12;14;53;-63;22/03/2018;14:45:13
13;14;53;-63;22/03/2018;14:45:23
14;14;53;-62;22/03/2018;14:45:33
15;14;53;-62;22/03/2018;14:45:43
16;14;53;-62;22/03/2018;14:45:53
17;14;53;-62;22/03/2018;14:46:03
18;14;53;-62;22/03/2018;14:46:13
19;14;53;-62;22/03/2018;14:46:23
20;13;53;-62;22/03/2018;14:46:33
21;13;53;-62;22/03/2018;14:46:43
22;13;53;-61;22/03/2018;14:46:53
23;13;53;-61;22/03/2018;14:47:03
24;13;53;-61;22/03/2018;14:47:13
25;13;53;-61;22/03/2018;14:47:23
26;13;53;-61;22/03/2018;14:47:33
27;13;53;-61;22/03/2018;14:47:43
28;13;52;-61;22/03/2018;14:47:53
29;13;52;-61;22/03/2018;14:48:03
30;13;52;-61;22/03/2018;14:48:13
31;13;52;-61;22/03/2018;14:48:23
32;13;53;-61;22/03/2018;14:48:33
33;13;53;-61;22/03/2018;14:48:43
34;13;53;-61;22/03/2018;14:48:53
35;13;53;-61;22/03/2018;14:49:03
36;13;53;-61;22/03/2018;14:49:13
37;13;53;-61;22/03/2018;14:49:23
38;13;53;-61;22/03/2018;14:49:33
39;13;53;-61;22/03/2018;14:49:43
40;13;53;-62;22/03/2018;14:49:53
41;13;53;-62;22/03/2018;14:50:03
42;13;52;-62;22/03/2018;14:50:13
43;13;52;-63;22/03/2018;14:50:23
44;13;52;-63;22/03/2018;14:50:33
45;13;53;-62;22/03/2018;14:50:43
46;13;53;-62;22/03/2018;14:50:53
47;13;53;-62;22/03/2018;14:51:03
48;13;53;-62;22/03/2018;14:51:13
49;13;53;-62;22/03/2018;14:51:23
50;13;53;-62;22/03/2018;14:51:33
51;13;53;-62;22/03/2018;14:51:43
52;13;53;-62;22/03/2018;14:51:53
53;13;52;-62;22/03/2018;14:52:03
54;13;52;-62;22/03/2018;14:52:13
55;13;52;-62;22/03/2018;14:52:23
56;13;52;-62;22/03/2018;14:52:33
57;13;53;-62;22/03/2018;14:52:43
58;13;53;-62;22/03/2018;14:52:53
59;13;53;-62;22/03/2018;14:53:03
60;13;53;-62;22/03/2018;14:53:13
61;13;53;-62;22/03/2018;14:53:23
62;13;53;-62;22/03/2018;14:53:33

1;13;53;-63;22/03/2018;14:58:53
2;13;53;-63;22/03/2018;14:59:03
3;14;53;-63;22/03/2018;14:59:13
4;14;53;-63;22/03/2018;14:59:23
5;14;53;-63;22/03/2018;14:59:33
6;14;53;-63;22/03/2018;14:59:43
7;14;53;-63;22/03/2018;14:59:53
8;14;53;-63;22/03/2018;15:00:03
9;14;53;-63;22/03/2018;15:00:13
10;14;53;-63;22/03/2018;15:00:23
11;14;53;-62;22/03/2018;15:00:33
12;14;53;-62;22/03/2018;15:00:43
13;14;53;-62;22/03/2018;15:00:53
14;14;53;-62;22/03/2018;15:01:03
15;14;53;-61;22/03/2018;15:01:13
16;14;53;-61;22/03/2018;15:01:23
17;14;53;-61;22/03/2018;15:01:33
18;14;53;-61;22/03/2018;15:01:43
19;14;53;-61;22/03/2018;15:01:53
20;14;53;-61;22/03/2018;15:02:03
21;14;53;-61;22/03/2018;15:02:13
22;14;53;-62;22/03/2018;15:02:23
23;14;53;-62;22/03/2018;15:02:33
24;14;53;-62;22/03/2018;15:02:43
25;14;53;-62;22/03/2018;15:02:53
26;14;53;-62;22/03/2018;15:03:03
27;14;53;-62;22/03/2018;15:03:13
28;14;53;-63;22/03/2018;15:03:23
29;14;53;-63;22/03/2018;15:03:33
30;14;53;-63;22/03/2018;15:03:43
31;14;53;-62;22/03/2018;15:03:53
32;14;53;-62;22/03/2018;15:04:03
33;14;53;-62;22/03/2018;15:04:13
34;14;53;-62;22/03/2018;15:04:23
35;14;53;-62;22/03/2018;15:04:33
36;14;53;-62;22/03/2018;15:04:43
37;14;53;-62;22/03/2018;15:04:53
38;14;53;-62;22/03/2018;15:05:03
39;14;53;-62;22/03/2018;15:05:13
40;14;53;-62;22/03/2018;15:05:23
41;14;53;-62;22/03/2018;15:05:33
42;14;53;-62;22/03/2018;15:05:43
43;14;53;-62;22/03/2018;15:05:53
44;14;53;-62;22/03/2018;15:06:03
45;14;52;-62;22/03/2018;15:06:13
46;14;52;-62;22/03/2018;15:06:23
47;14;52;-62;22/03/2018;15:06:33
48;14;53;-62;22/03/2018;15:06:43
49;14;53;-62;22/03/2018;15:06:53
50;14;53;-62;22/03/2018;15:07:03
